 ,X,Y,Median
1,67.68,55.2,447
2,56.32,39.52,399
3,23.84,30.88,374
4,67.68,53.12,363
5,38.72,47.36,327
6,11.52,45.76,326
7,51.84,58.08,304
8,33.76,20.16,298
9,81.12,20.8,291
10,24.8,19.84,281
11,50.24,15.84,280
12,49.12,15.36,279
13,3.68,59.2,267
14,31.04,18.72,267
15,69.12,8.48,264
16,11.68,20.8,261
17,69.28,36.64,260
18,43.84,32.16,250
19,65.92,69.44,248
20,14.24,29.44,246
21,68.96,4.48,244
1,34.4,40.48,398
2,46.4,25.92,379
3,36,33.6,331
4,40.64,40.8,314
5,42.72,48.96,294
6,39.68,40.32,290
7,50.56,12,276
8,40.64,39.68,260
9,42.24,47.68,253
10,75.52,8.8,243
1,22.4,67.36,429
2,40.32,35.68,406
3,27.84,8.48,381
4,61.76,47.04,350
5,55.84,6.4,347
6,23.04,41.6,315
7,51.2,76.8,295
8,48.8,41.12,290
9,12.96,30.08,269
10,18.72,73.92,252
1,30.24,46.4,524
2,65.92,7.36,443
3,33.44,18.08,440
4,19.84,67.36,399
5,17.76,33.28,399
6,18.56,67.2,370
7,65.6,6.24,359
8,53.76,20.8,356
9,21.44,7.04,316
10,31.36,15.2,310
11,47.36,47.52,294
12,67.04,42.56,271
13,43.84,22.56,249
1,42.08,35.84,544
2,12.8,53.28,477
3,42.88,48.32,471
4,42.24,47.68,444
5,13.6,53.28,436
6,53.92,50.72,428
7,33.92,32.64,382
8,38.24,12,355
9,53.12,52.16,333
1,4.96,30.24,418
2,70.4,36.16,397
3,80.16,38.88,352
4,32,34.24,344
5,23.2,37.12,326
6,48.48,16.96,325
7,33.44,29.28,323
8,9.76,26.4,274
9,79.68,28.8,273
10,47.2,30.08,270
11,40.16,28.8,260
12,65.6,69.6,249
1,19.68,26.72,455
2,18.88,26.72,419
3,55.04,31.68,386
4,60,26.56,366
5,20,81.76,361
6,49.28,39.2,334
7,48.48,38.24,331
8,66.72,52.32,321
9,33.44,27.68,313
10,44.64,23.84,303
11,60.32,27.68,295
12,20.48,73.12,280
13,63.68,29.28,274
14,57.28,35.2,271
15,4.32,21.28,271
16,64,55.04,264
17,64.48,26.72,261
18,37.92,33.92,259
19,41.28,25.44,258
20,67.2,55.36,257
21,29.44,29.12,256
1,23.84,55.04,462
2,20.96,20.48,417
3,50.24,67.04,405
4,62.24,29.28,385
5,37.28,25.6,364
6,44.8,25.76,357
7,44.96,56.64,331
8,17.6,72.16,324
9,59.84,50.24,312
10,13.44,21.92,304
11,60.64,48,303
12,48.16,52.32,289
13,18.88,40.48,285
14,48.48,50.08,284
15,72.16,5.44,278
16,36.16,74.72,275
17,52.16,40.32,273
18,30.08,49.6,264
19,55.36,18.56,258
20,79.68,30.56,257
21,8.32,81.12,241
1,24.32,56,438
2,46.24,12.96,385
3,12.16,30.24,376
4,68.8,39.36,373
5,39.52,35.84,347
6,70.56,32.96,345
7,59.68,10.24,326
8,66.56,51.36,298
9,49.12,49.92,297
10,56.8,54.56,295
11,24,23.52,291
12,18.4,31.68,257
13,42.56,36.48,254
1,33.28,25.12,415
2,9.28,23.36,325
3,73.76,4.48,315
4,30.4,32,293
5,57.28,26.72,289
6,26.24,49.12,268
7,42.24,74.24,262
8,74.08,11.68,253
9,55.68,71.52,248
10,0,17.92,246
1,52.16,37.12,548
2,56.16,48.48,368
3,43.04,27.68,367
4,25.6,17.6,318
5,16.32,23.2,285
6,42.4,40,278
7,35.04,29.6,255
8,30.4,61.12,252
9,2.72,38.08,252
10,1.12,59.84,248
1,39.84,36.48,403
2,24.16,13.92,351
3,43.2,63.2,286
4,79.04,15.52,273
5,20.16,44.96,272
6,28,34.08,272
7,22.88,13.44,266
8,42.08,0.16,257
1,37.44,31.52,430
2,53.12,54.56,318
3,29.44,51.2,305
1,62.4,25.28,404
2,34.08,53.6,394
3,21.92,40.48,288
4,0.32,67.52,259
