 ,X,Y,Median
1,55.36,39.68,461
1,26.88,42.72,376
2,40.8,45.92,335
3,55.52,54.08,314
4,35.36,19.36,284
1,37.76,47.2,820
2,38.08,46.24,740
3,61.28,69.92,348
4,74.56,39.04,325
1,72,31.84,459
2,30.24,38.08,407
3,20,60,341
1,64.32,43.36,662
2,58.72,45.6,617
3,62.08,43.2,584
4,19.52,46.72,577
5,60.8,44.96,572
6,71.84,10.88,557
7,19.84,45.28,542
8,57.12,44.64,512
9,21.12,43.84,443
10,15.68,44,412
11,55.2,46.24,398
12,38.56,45.28,388
13,18.4,44.16,378
14,20.8,48.8,370
15,70.72,11.68,361
16,33.92,44.8,341
1,34.08,29.12,570
2,36.16,55.2,428
3,26.24,43.68,309
4,67.04,12.32,296
5,50.08,56,294
1,40.48,35.36,589
2,41.76,29.6,528
3,37.76,58.56,288
4,35.04,54.08,281
1,25.12,41.12,541
2,25.28,39.04,488
3,65.76,54.4,336
4,47.84,29.76,316
5,21.44,19.36,316
6,76,43.2,283
1,43.04,62.56,315
2,6.08,25.12,288
3,40,78.4,287
4,37.44,29.12,283
5,9.92,36.32,276
6,29.12,68.96,273
1,39.68,59.68,583
2,39.36,58.56,552
3,6.24,19.52,309
1,7.2,24,571
2,7.04,25.44,548
1,55.04,56.48,458
2,43.2,19.68,296
1,52,60.48,488
2,16.48,52.48,389
3,48.64,25.92,370
4,48.16,21.28,295
5,11.52,60.96,289
1,44,28.64,528
2,46.88,30.56,407
1,28.96,44,520
2,66.08,36,337
3,52.96,67.04,326
1,25.6,34.08,470
2,13.6,29.6,389
3,61.28,61.76,345
4,29.6,35.04,326
5,47.04,61.92,322
6,32.96,38.56,316
7,49.12,27.52,307
8,63.2,32.64,301
1,41.28,54.08,366
2,26.08,44.48,283
1,46.08,52.96,322
2,15.84,22.24,298
3,58.56,24.64,281
1,55.52,53.44,447
2,20,64.8,328
3,38.4,4,326
4,24.96,49.12,324
1,29.28,21.92,512
2,63.36,62.72,392
1,22.72,51.84,463
2,61.28,63.04,449
3,27.2,33.12,342
4,15.04,7.68,310
