 ,X,Y,Median,Slice
1,41.44,48.32,961,1
2,11.04,13.12,793,1
3,49.6,25.28,404,1
1,41.44,29.76,305,1
2,77.44,33.92,268,1
3,8.48,57.6,259,1
1,50.4,42.4,353,1
2,46.72,25.6,274,1
3,45.92,24,259,1
1,33.76,17.28,336,1
2,55.84,14.56,313,1
3,16.64,6.56,276,1
1,74.56,26.24,515,1
2,19.04,59.2,273,1
3,51.84,29.28,273,1
1,41.76,33.92,729,1
2,43.2,34.08,514,1
1,52.32,34.24,271,1
1,71.68,20.16,1039,1
2,6.72,55.2,660,1
3,53.28,61.6,458,1
4,54.56,61.76,453,1
1,33.92,50.88,525,1
2,36.16,50.4,482,1
3,36.32,51.2,407,1
4,35.36,50.56,397,1
5,37.12,50.08,358,1
6,23.04,12.96,297,1
7,36.96,48.48,286,1
8,23.68,14.24,274,1
