 ,X,Y,Median,Slice
1,45.76,50.72,454,1
2,44.96,47.68,380,1
3,45.76,52.96,370,1
4,45.76,49.76,367,1
5,46.24,44,335,1
6,46.24,46.24,319,1
7,48.64,26.08,258,1
8,67.84,20.8,245,1
9,24,20,242,1
1,39.68,41.12,323,1
2,41.12,35.84,309,1
3,41.28,38.88,281,1
4,39.84,37.44,281,1
5,42.08,39.52,271,1
1,53.6,31.2,344,1
2,11.68,34.56,323,1
3,64.96,33.28,300,1
4,50.08,69.76,255,1
5,12.64,29.92,241,1
6,3.36,10.08,233,1
1,40.64,33.92,621,1
2,42.4,36,531,1
3,43.2,34.56,396,1
4,38.72,34.88,377,1
5,37.76,33.44,365,1
6,38.4,36.16,361,1
7,38.88,36.8,359,1
1,37.92,27.68,523,1
2,35.68,27.2,475,1
3,38.88,28.32,407,1
4,38.56,30.24,395,1
5,38.24,26.72,358,1
6,59.84,18.88,255,1
7,59.52,16.96,255,1
8,60.48,29.44,239,1
9,34.72,10.24,234,1
1,66.4,58.88,626,1
2,68.8,59.36,544,1
3,69.6,58.08,468,1
4,46.88,15.68,420,1
5,65.6,61.6,405,1
6,71.04,57.76,330,1
7,48.32,15.68,266,1
8,19.68,17.28,235,1
9,65.44,7.52,231,1
1,43.84,21.6,1065,1
2,45.76,20.16,899,1
3,45.12,20.96,866,1
4,41.76,21.12,862,1
5,44.8,16.64,642,1
6,46.4,19.36,611,1
7,45.6,17.6,295,1
1,36.64,45.12,448,1
2,37.44,46.24,406,1
3,50.08,58.24,388,1
4,33.44,45.12,362,1
5,52.8,57.44,336,1
6,34.56,45.28,314,1
7,57.44,17.76,266,1
8,55.52,17.76,254,1
9,13.28,13.12,252,1
10,61.6,22.56,242,1
11,9.6,18.72,240,1
1,32.32,27.2,499,1
2,33.76,27.84,476,1
3,30.72,28.8,393,1
4,30.72,23.36,262,1
1,16,17.28,303,1
2,32.16,31.36,250,1
3,73.44,34.4,246,1
4,5.28,32.48,244,1
5,77.28,70.88,240,1
6,28.32,36.8,239,1
7,37.28,44.16,238,1
1,46.72,38.56,970,1
2,46.4,37.12,797,1
3,47.84,38.4,526,1
4,68.16,67.52,271,1
5,67.52,15.2,239,1
1,42.88,26.72,455,1
2,42.56,25.12,423,1
1,30.88,32.8,535,1
2,34.08,34.88,331,1
3,34.24,36.16,323,1
4,32.48,34.88,307,1
1,37.44,21.12,405,1
2,36.48,21.28,381,1
1,41.92,25.12,446,1
2,39.84,25.76,399,1
3,41.92,23.52,365,1
4,39.52,27.04,293,1
