 ,X,Y,Median
1,25.44,32,451
2,40.32,56.64,397
3,40.32,15.68,394
4,46.88,48.96,384
5,59.04,60,364
6,37.76,51.04,362
7,31.2,52.16,353
8,45.28,48.96,352
9,10.56,39.68,351
10,40.32,19.68,350
11,21.76,27.52,346
12,40,25.44,339
13,33.44,48.48,335
14,43.2,48.32,323
15,29.12,33.44,321
16,33.12,51.04,319
17,73.12,68,318
18,70.72,66.08,317
19,29.44,50.56,316
20,44.32,50.24,297
21,34.24,69.76,294
22,44.8,10.4,292
23,32.96,70.72,290
24,27.52,33.28,288
25,42.08,16.8,285
26,36,52.32,284
27,79.2,70.08,280
28,37.92,57.44,279
29,33.76,31.2,279
30,80.32,68.8,277
31,42.24,51.36,276
32,31.36,47.84,276
33,45.6,9.6,275
34,47.36,8.48,275
35,30.72,69.44,274
36,28,54.56,274
37,69.6,64.48,272
38,28.64,30.08,272
39,35.36,53.76,271
40,65.44,62.4,270
41,40.48,12.96,268
42,43.68,11.52,267
43,75.04,70.72,266
44,40.96,22.56,266
45,55.2,64.48,265
46,51.04,23.36,264
47,48.48,23.2,262
48,64.96,53.6,261
49,2.24,58.56,259
50,13.12,59.2,258
51,43.2,69.44,255
52,50.4,3.84,253
1,44.8,32.96,423
2,39.36,13.12,407
3,58.56,44.96,395
4,52.8,17.76,375
5,4.96,49.12,362
6,72.96,32,348
7,37.6,61.28,320
8,45.12,40,281
9,32.48,35.04,281
10,21.44,26.08,276
11,27.52,29.92,273
12,60.16,51.84,260
13,22.72,32.8,260
14,30.88,63.36,258
15,37.28,36.32,258
16,10.24,38.88,255
17,39.04,27.04,255
18,59.36,11.84,255
19,35.36,0,254
20,10.08,60.64,251
21,28.48,0.8,246
22,33.12,0,244
1,24.48,34.56,578
2,22.88,31.52,567
3,33.28,6.24,561
4,22.4,31.04,555
5,33.92,6.24,545
6,33.92,6.72,540
7,24.8,35.04,471
8,21.92,31.68,437
9,58.24,69.44,433
10,21.6,31.04,421
11,57.6,68.64,377
12,21.6,30.4,330
13,57.12,70.24,317
14,65.44,79.2,136
15,71.36,2.24,131
16,39.04,46.56,77
17,22.4,80.32,58
18,81.76,46.08,34
1,56.32,26.4,522
2,41.76,18.88,335
3,26.24,18.72,312
4,66.88,19.68,292
5,16.96,34.24,286
1,71.36,9.12,418
2,42.08,36.8,399
3,22.24,57.76,397
4,19.52,48.8,383
5,4.96,39.84,362
6,62.56,75.04,308
1,16.96,53.76,423
2,43.2,50.88,345
3,34.4,43.68,327
4,70.88,45.44,295
1,20.96,39.52,424
2,44.48,40.32,407
3,26.08,54.72,366
4,55.04,53.6,337
5,26.72,56.16,275
6,59.36,22.08,262
1,52.96,54.56,515
2,55.04,20.64,466
3,54.24,55.36,426
4,12.64,60.64,418
5,40.48,28.32,384
6,68.96,49.6,376
7,14.88,59.2,373
8,19.84,58.4,368
9,40.16,48,356
10,57.28,31.36,337
11,11.84,9.6,299
12,39.68,25.6,275
13,54.56,58.72,272
1,7.84,50.08,526
2,63.04,27.2,330
3,31.68,47.68,316
4,58.24,29.12,287
5,42.88,23.68,268
1,28.64,32.16,526
2,61.6,59.52,447
3,7.68,58.56,318
4,37.44,43.84,307
5,27.52,16.32,298
6,43.68,13.6,288
7,35.36,42.56,279
1,56.64,24.8,489
2,15.2,50.4,414
3,58.72,24.64,392
4,62.56,31.2,377
5,41.92,63.84,355
6,50.72,25.44,345
7,16.8,30.24,337
8,21.6,51.36,330
9,57.76,22.24,305
10,54.56,26.24,289
11,60.8,26.4,277
12,16.32,29.44,274
13,64.64,33.76,272
14,60.64,25.28,271
15,68.48,24.32,257
1,9.44,25.28,416
2,35.2,28.96,391
3,74.72,51.84,331
4,62.88,43.04,276
5,30.08,20,263
1,48.16,38.88,517
2,22.08,44.48,445
3,38.08,43.04,443
4,68.48,28,433
1,50.4,24.8,421
2,33.44,41.44,408
3,36.96,51.68,398
4,36.48,39.2,351
5,52.32,21.6,337
6,22.88,52.96,323
7,35.36,40.96,284
8,74.08,3.68,275
9,79.84,80,248
1,38.24,22.4,514
2,49.6,28.64,428
3,38.08,21.44,374
4,28.8,42.24,343
5,41.28,51.84,332
6,13.44,22.56,331
7,42.56,52.64,298
8,40.32,50.4,282
1,41.28,44.48,396
2,77.28,18.56,314
3,42.88,26.72,304
4,32.48,48.48,285
5,14.56,0,252
1,64.48,32.32,467
2,33.92,17.28,368
3,52,24,359
4,38.4,54.08,344
5,34.56,58.4,294
6,77.92,50.56,266
7,68.8,62.88,263
1,24.64,34.72,452
2,23.52,11.84,366
3,25.28,36.16,363
4,26.08,58.08,354
5,81.44,9.28,302
6,52.48,36,292
1,54.72,20.96,623
2,40.16,28.96,563
3,38.56,27.04,458
4,41.28,29.6,381
5,71.2,74.4,366
6,39.04,74.72,349
7,39.36,27.84,303
