 ,X,Y,Median
1,48.96,45.12,1000
2,49.44,46.08,969
3,64,36.96,742
4,35.84,50.24,646
5,16.32,22.24,614
6,16,35.52,509
7,13.28,5.12,338
1,45.6,51.52,1095
2,20.16,39.52,690
3,68.64,60.32,535
4,47.52,14.08,528
5,24.48,53.44,465
6,67.36,48.32,457
1,57.76,14.56,670
2,15.04,56.32,467
3,29.76,17.28,453
1,74.4,33.92,492
2,13.28,44.64,418
3,53.92,47.84,396
4,48.64,62.08,339
1,4.32,65.12,870
2,47.84,16.16,717
3,76.64,26.56,600
4,62.24,72.32,593
5,44.8,30.24,516
6,18.56,8.96,477
7,68.48,17.92,453
8,16.48,58.24,451
1,2.72,33.92,719
2,75.36,27.84,672
3,37.92,59.04,654
4,71.84,28.48,559
5,48.16,38.08,520
6,8.64,39.04,485
7,45.92,51.52,389
1,60.16,29.6,909
2,75.04,9.92,871
3,17.76,45.12,733
4,27.2,20.32,428
5,6.08,41.92,422
1,13.76,13.92,556
2,65.92,34.08,469
3,24.32,68.32,392
4,47.84,13.12,387
5,31.04,36.96,355
1,40.48,42.08,681
2,24.16,61.28,661
3,5.12,44,559
4,76.8,11.84,382
5,67.2,42.24,340
1,46.4,45.76,950
2,45.6,44.32,817
3,36.64,37.28,490
1,50.4,21.92,648
2,52,59.68,579
3,29.92,51.04,403
4,70.24,6.4,352
1,26.08,11.84,654
2,36.32,58.08,556
3,6.72,55.68,553
4,54.4,27.68,543
5,47.04,46.24,539
6,68,41.44,519
7,77.76,55.52,415
8,78.72,17.12,411
9,58.24,24.16,390
10,61.28,67.68,346
1,31.84,58.4,824
2,45.76,15.52,792
3,48.96,3.52,619
4,52.64,50.72,449
5,47.04,13.44,378
1,46.08,39.68,602
1,14.4,39.04,671
2,35.2,36.8,586
3,66.4,37.44,547
4,61.12,18.88,500
1,20.16,66.4,836
2,30.24,30.4,735
3,69.12,28.32,695
4,66.56,27.36,467
5,32,37.92,375
1,24.16,48,471
2,60,28,392
1,23.52,58.56,632
2,43.84,32.48,495
3,63.84,34.56,354
