 ,X,Y,Median
16,53.6,13.12,352
17,56.96,55.36,347
18,40.96,48.8,340
19,28.48,62.88,339
20,29.44,40,338
21,58.88,4.96,337
22,77.6,40.16,334
23,13.76,60.64,333
24,54.56,13.6,331
25,80.48,15.52,325
26,45.12,9.6,325
27,56.8,10.24,319
28,3.2,4.48,317
29,52.8,35.04,313
1,67.04,25.76,716
2,39.84,30.24,708
3,23.04,33.76,692
4,19.36,33.28,623
5,35.52,4.16,600
6,65.28,53.76,592
7,72.96,57.6,583
8,62.08,18.08,575
9,61.76,28,562
10,69.92,60.8,557
11,17.28,41.76,513
12,32.32,59.36,476
13,27.68,43.04,472
14,77.76,10.72,471
15,71.68,18.88,454
16,65.12,24.96,440
17,38.56,40.96,427
18,29.76,58.56,424
19,21.92,22.56,424
20,8.96,27.84,421
21,20.16,62.72,417
22,62.08,53.28,410
23,79.36,23.2,395
24,0,16.8,373
25,39.36,27.36,370
26,48.32,10.56,370
27,3.04,9.92,358
28,25.28,8.16,357
29,79.68,1.76,350
30,61.6,61.76,343
31,27.68,68.64,336
32,77.6,61.76,336
33,74.4,11.36,336
34,0.8,65.6,333
35,15.04,52.32,328
36,76.48,58.4,327
37,30.4,36.64,327
38,36.8,32.8,326
39,17.12,5.44,320
40,18.24,8.32,311
1,67.36,28.16,796
2,79.68,49.44,705
3,68.48,49.44,704
4,53.76,36.8,692
5,53.6,70.72,663
6,57.28,20,639
7,15.68,57.76,602
8,63.52,40.16,596
9,20.64,67.04,591
10,38.4,21.44,589
11,14.08,48.32,587
12,38.08,7.84,583
13,41.12,16.64,581
14,35.84,23.84,578
15,29.76,34.24,570
16,67.04,53.6,562
17,40.8,45.28,556
18,44,67.68,553
19,42.4,66.08,550
20,32.16,34.08,550
21,40.32,35.04,548
22,28.16,13.6,544
23,52.32,42.08,543
24,19.52,60.16,542
25,12.32,46.88,533
26,65.92,27.2,520
27,59.2,17.6,520
28,12.32,56.96,512
29,0.16,52.32,506
30,41.6,5.12,506
31,34.88,22.08,502
32,22.72,54.56,499
33,44.16,15.52,499
34,33.6,43.36,498
35,64.64,25.12,498
36,54.24,53.92,494
37,62.56,20.64,494
38,18.24,5.28,494
39,60,56.32,473
40,48.32,56,473
41,60,6.88,471
42,36.48,6.88,467
43,33.92,21.44,466
44,32.96,13.44,462
45,8.96,73.92,458
46,17.44,49.44,457
47,28.8,15.36,457
48,60.96,6.08,431
49,65.76,49.76,430
50,30.88,47.84,429
51,26.72,18.72,428
52,75.84,80.48,415
53,9.76,57.28,390
54,12.16,66.4,382
55,2.88,68.64,377
56,47.52,64,375
57,56.48,37.44,374
58,36.96,46.24,372
59,8.32,57.28,369
60,41.76,18.24,369
61,57.76,30.08,361
62,2.88,73.28,357
63,54.24,28,356
64,64.8,15.2,350
65,39.84,20.64,349
66,35.52,69.12,345
67,24,2.4,345
68,21.76,51.68,343
69,8.8,51.36,342
70,40.32,58.72,335
71,19.52,57.6,335
72,28.96,4.8,332
73,30.56,0.48,327
74,5.44,19.84,320
75,21.28,80.8,306
1,60.48,48.32,760
2,50.72,26.08,652
3,7.68,43.84,645
4,19.2,16.8,645
5,42.24,26.88,612
6,76.16,59.36,611
7,79.84,40,608
8,14.08,56.16,604
9,66.56,18.72,600
10,66.24,62.72,591
11,14.72,42.72,590
12,80.96,30.88,574
13,32.16,44.8,567
14,12.64,75.52,556
15,72.16,39.36,535
16,56.64,54.72,529
17,30.88,74.56,522
18,14.24,51.36,519
19,49.76,68,516
20,44.32,56,509
21,25.6,70.56,483
22,63.04,28.32,482
23,35.04,47.36,479
24,72.16,46.88,478
25,9.44,13.6,473
26,35.52,35.36,471
27,8,12,461
28,15.04,40.32,459
29,35.04,29.44,458
30,34.4,76,441
31,42.88,66.08,441
32,56.32,70.88,425
33,25.6,2.24,422
34,11.84,43.36,416
35,78.72,37.44,412
36,53.92,16.96,412
37,44.96,56.96,404
38,35.2,73.12,401
39,9.92,48,393
40,68.96,2.08,385
41,34.56,31.84,384
42,78.88,17.28,381
43,33.28,56.16,379
44,65.6,44.48,377
45,66.4,30.88,373
46,16.32,69.6,371
47,4.48,69.44,369
48,11.2,39.04,369
49,48.96,57.12,367
50,13.12,9.76,365
51,13.92,1.76,364
52,76.64,30.24,358
53,32.64,32.16,348
54,1.12,15.04,346
55,81.76,60.8,345
56,52.8,12.48,344
57,45.92,46.72,337
58,66.56,9.44,333
59,25.76,61.12,329
1,71.52,32.32,695
2,66.72,41.12,647
3,19.2,30.24,639
4,14.08,21.12,610
5,61.44,35.84,587
6,55.2,11.52,556
7,9.12,45.28,550
8,46.88,31.68,545
9,24.48,55.52,507
10,6.24,63.36,504
11,4.32,75.68,502
12,0,52,501
13,74.08,36.48,499
14,77.12,36.16,499
15,46.24,55.2,484
16,75.04,12.16,479
17,62.72,68.64,474
18,25.44,32.8,474
19,32.16,13.44,472
20,30.56,12.96,468
21,48.8,68.32,458
22,23.68,18.4,453
23,41.12,49.92,446
24,35.36,57.44,443
25,38.08,44.64,443
26,27.36,68.16,439
27,45.92,54.4,438
28,42.4,10.88,437
29,20,47.04,434
30,81.76,58.4,428
31,48,25.76,420
32,69.12,12.32,418
33,24,70.56,416
34,21.12,25.6,403
35,59.36,1.92,401
36,5.44,78.08,400
37,12.96,8.96,400
38,16.96,15.68,398
39,71.68,20.16,397
40,72.32,30.72,396
41,79.36,0.48,395
42,1.28,80.48,394
43,10.4,23.52,394
44,34.4,29.44,392
45,20.48,55.52,391
46,74.4,9.12,391
47,53.44,71.36,389
48,24.96,60.96,380
49,8.16,8.96,380
50,65.12,77.28,378
51,49.92,19.84,377
52,43.2,52.64,367
53,67.2,10.56,366
54,47.52,75.68,363
55,12,3.68,363
56,34.08,74.4,357
57,30.56,31.84,357
58,8,6.56,357
59,45.12,59.84,356
60,31.84,29.28,356
61,22.24,5.92,356
62,64.16,7.68,352
63,34.24,35.68,351
64,39.84,16.48,346
65,2.08,16,344
66,13.6,2.4,344
67,1.76,53.12,341
68,12,75.2,340
69,75.68,74.08,337
70,67.2,22.08,337
71,71.36,74.56,336
72,46.56,51.68,335
73,36.96,8.8,334
74,31.36,46.4,333
75,25.12,78.08,332
76,17.76,69.12,331
77,36.96,72.48,322
78,14.08,16.48,322
1,35.2,34.24,814
2,54.08,62.4,774
3,19.2,34.88,763
4,14.24,47.84,717
5,34.72,73.6,716
6,56.16,46.08,699
7,61.44,69.6,689
8,37.44,57.76,672
9,70.4,20.48,648
10,57.44,51.68,638
11,30.4,41.44,593
12,45.6,48.48,576
13,10.4,47.52,567
14,47.52,37.76,551
15,64.16,76.96,539
16,42.24,60.8,534
17,48.32,38.24,533
18,35.04,47.2,515
19,30.56,47.68,512
20,28.96,51.04,510
21,25.92,0.8,504
22,44.64,30.56,502
23,25.76,46.08,501
24,62.08,44.32,494
25,30.08,32.32,491
26,8.32,52,490
27,9.28,15.52,463
28,55.36,43.36,458
29,42.08,30.56,458
30,63.68,65.12,454
31,3.36,50.08,427
32,11.36,50.24,425
33,31.68,55.68,413
34,13.6,6.08,413
35,75.68,39.84,412
36,2.72,20.8,401
37,48.8,80.8,400
38,1.6,16.8,400
39,26.88,53.76,393
40,28.48,3.04,390
41,68.64,14.72,388
42,17.28,56.64,383
43,39.52,70.72,378
44,75.2,77.6,376
45,70.72,74.56,374
46,64.96,6.08,374
1,35.36,25.92,765
2,23.04,51.36,715
3,67.84,30.4,701
4,0,25.76,680
5,65.28,62.72,645
6,56.96,17.92,634
7,24.48,37.92,629
8,12,29.12,626
9,69.28,35.84,624
10,65.6,39.04,572
11,74.72,19.36,556
12,81.44,16.32,553
13,6.72,47.2,530
14,50.72,39.68,528
15,12.64,13.76,525
16,31.68,53.6,519
17,16.32,26.24,509
18,73.12,1.28,509
19,57.76,5.12,505
20,10.72,25.12,498
21,7.52,9.12,497
22,40.48,38.4,489
23,24,63.52,482
24,10.72,53.76,481
25,31.2,48.16,479
26,12.96,19.04,448
27,48.48,52.8,439
28,51.04,70.56,436
29,23.04,13.6,433
30,9.6,5.28,433
31,50.4,29.6,432
32,62.24,79.04,427
33,52,46.56,410
34,74.72,12,405
35,5.28,7.04,405
36,49.6,51.04,404
37,40,19.52,402
38,32.64,69.92,397
39,60.32,35.2,396
40,54.72,36,387
41,14.88,56,376
42,6.72,0,357
1,63.2,54.72,747
2,61.92,59.2,653
3,59.68,57.76,650
4,48.48,29.44,601
5,28,50.4,572
6,26.88,19.2,560
7,12.64,40.32,556
8,55.68,76.48,549
9,56.16,8,541
10,22.56,8.16,540
11,65.6,20.16,539
12,25.6,7.84,528
13,27.04,24.48,524
14,46.08,20.96,503
15,35.84,71.04,492
16,36.96,32.8,492
17,46.24,24.16,468
18,29.28,9.6,465
19,66.08,17.44,461
20,63.36,52.96,458
21,12.64,36.32,439
22,25.6,24.32,413
23,77.28,23.36,402
24,30.24,6.08,367
25,54.88,18.4,363
26,1.12,7.52,356
1,79.52,54.88,782
2,23.84,55.2,778
3,26.4,55.68,563
4,8.32,14.08,516
5,49.92,16.48,436
6,30.88,72.64,384
1,49.44,16.16,546
2,46.24,65.6,459
3,35.2,41.6,374
1,53.12,64.16,680
2,59.84,55.36,549
3,21.28,19.52,487
4,12,25.12,466
5,60.96,31.84,454
6,62.88,20.96,408
7,38.56,30.88,361
