 ,X,Y,Median
1,28.32,39.84,1055
2,56.64,34.24,943
3,53.12,60.16,773
4,61.76,65.28,745
5,31.2,21.12,714
6,49.6,39.68,643
7,41.76,70.72,615
8,31.04,13.92,582
9,28,21.76,564
10,29.6,22.88,510
11,16.96,40.64,509
12,24.32,33.44,499
13,44.64,52.48,479
14,58.4,53.28,448
15,55.04,51.2,447
16,72.48,2.4,443
17,60.96,6.72,418
18,19.04,39.68,411
19,9.44,41.6,407
20,51.04,4,404
21,23.36,27.52,389
22,69.44,77.76,384
23,46.24,3.68,368
24,49.76,22.56,366
25,56.96,65.76,365
26,37.92,54.4,362
27,27.52,54.56,336
28,7.36,32.64,334
29,24.64,30.56,334
30,53.12,22.08,319
31,38.24,49.44,315
32,67.04,72,311
1,19.84,18.4,823
2,76.48,23.68,772
3,22.24,55.04,750
4,53.6,29.28,732
5,19.04,19.36,718
6,72.64,30.56,650
7,46.24,56.48,635
8,48.32,18.88,624
9,76.32,25.12,598
10,14.56,16.32,591
11,9.44,72.8,587
12,13.6,28.16,570
13,23.2,52.48,559
14,56.16,31.2,559
15,59.52,36.16,552
16,10.24,12.96,551
17,44,52.96,546
18,81.6,48.32,534
19,8.96,36.96,526
20,4.64,29.12,514
21,45.12,56,492
22,49.44,2.88,490
23,42.08,20.8,489
24,76.48,42.4,482
25,40,28.32,478
26,13.12,68.16,477
27,67.36,59.36,467
28,16.8,52,461
29,59.68,32.48,456
30,20.64,54.56,455
31,69.28,50.88,451
32,12.8,52.96,445
33,18.72,0.32,441
34,38.56,56,433
35,57.12,5.76,433
36,75.36,58.24,431
37,65.28,58.4,422
38,30.08,19.84,421
39,43.36,16.64,420
40,9.12,43.68,417
41,51.04,37.6,417
42,24.64,29.12,413
43,38.08,20.32,410
44,8.48,68.64,409
45,47.2,3.36,409
46,44.32,18.88,407
47,70.4,14.88,392
48,7.36,37.44,391
49,47.84,7.36,388
50,53.92,2.4,388
51,80.96,39.04,384
52,64.8,64.16,380
53,35.36,41.44,378
54,31.68,24.16,375
55,13.6,74.08,374
56,30.56,65.92,372
57,65.12,10.72,366
58,21.44,11.36,363
59,9.44,31.84,362
60,17.6,57.28,352
61,24.96,42.08,352
62,38.56,59.52,349
63,56.16,15.68,347
64,36.48,64.8,344
65,47.84,53.92,344
66,52.16,0.96,334
67,64.8,8.48,332
68,1.6,58.72,331
69,32.32,26.72,330
70,45.28,14.4,329
71,52.96,70.72,323
1,30.88,44,780
2,11.2,53.76,707
3,71.68,45.12,627
4,51.04,46.88,576
5,69.76,6.56,501
6,50.08,58.72,492
7,23.52,41.44,473
8,65.76,43.84,463
9,43.52,24.48,446
10,5.44,6.4,419
11,74.08,40.8,402
12,71.36,52.64,400
13,47.84,34.24,385
14,43.84,25.92,361
15,9.92,60,356
